"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"fluidanimate","OddEven","ACO","0.1","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.056371478","0.002125","46.99264705882353","0.001625","51.21153846153846"
"fluidanimate","OddEven","ACO","0.1","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.101143884","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.058424448","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.096607124","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.066726565","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.082991534","0.002125","46.99264705882353","0.001625","51.21153846153846"
"fluidanimate","OddEven","ACO","0.1","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.05381467","0.002125","46.99264705882353","0.001625","51.21153846153846"
"fluidanimate","OddEven","ACO","0.1","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.075982468","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.057551733","0.002125","46.99264705882353","0.001625","51.21153846153846"
"fluidanimate","OddEven","ACO","0.1","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.052972862","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","OddEven","ACO","0.1","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.093713043","0.002125","46.99264705882353","0.001625","51.21153846153846"
"fluidanimate","OddEven","ACO","0.1","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.055494399","0.002125","47","0.001625","51.22115384615385"
"fluidanimate","XY","Random","0.15","0.5","0.05","XY+Random","1000","0.06100241","0.001890625","51.90909090909091","0.001890625","51.90909090909091"
"fluidanimate","OddEven","BufferLevel","0.15","0.5","0.05","OddEven+BufferLevel","1000","0.060935961","0.002234375","52.79020979020979","0.002234375","52.79020979020979"
"fluidanimate","OddEven","ACO","0.15","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.131415582","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.119163972","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.102077958","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.06686773","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.102870614","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.112705233","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
"fluidanimate","OddEven","ACO","0.15","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.080628638","0.002984375","50.3717277486911","0.002484375","53.82389937106918"
